date,buy_date,model,K,stock,rank_after_filter,y_pred_model,y_pred_real,y_pred_zero,y_true,close_ret,ret_gross,buy_cost,sell_cost,ret_net
2025-03-07,2025-03-06,ZeroGraph,10,000809.SZ,2,1.1336349248886108,1.1071600914001465,1.1336349248886108,4.113924026489258,0.0498338870431894,0.04113924026489258,0.0001,0.0011,0.03993924026489258
2025-03-07,2025-03-06,ZeroGraph,10,002197.SZ,3,1.1202479600906372,1.3253848552703855,1.1202479600906372,3.5916824340820312,0.0496031746031746,0.03591682434082031,0.0001,0.0011,0.03471682434082031
2025-03-07,2025-03-06,ZeroGraph,10,000935.SZ,4,0.6827253699302673,0.7569226622581482,0.6827253699302673,-0.394811064004898,0.0818858560794044,-0.00394811064004898,0.0001,0.0011,-0.00514811064004898
2025-03-07,2025-03-06,ZeroGraph,10,600981.SH,5,0.5755013227462769,0.5209339261054993,0.5755013227462769,-1.8181818723678589,0.062992125984252,-0.018181818723678588,0.0001,0.0011,-0.019381818723678588
2025-03-07,2025-03-06,ZeroGraph,10,002802.SZ,6,0.2067760825157165,0.0222391970455646,0.2067760825157165,-0.0772200748324394,0.0495129870129869,-0.000772200748324394,0.0001,0.0011,-0.001972200748324394
2025-03-07,2025-03-06,ZeroGraph,10,605138.SH,7,0.1197085455060005,0.1395196169614792,0.1197085455060005,0.0,0.0034129692832763,0.0,0.0001,0.0011,-0.0012000000000000001
2025-03-07,2025-03-06,ZeroGraph,10,603359.SH,8,0.1156955435872078,0.0944423303008079,0.1156955435872078,-1.1111111640930176,0.04930966469428,-0.011111111640930175,0.0001,0.0011,-0.012311111640930175
2025-03-07,2025-03-06,ZeroGraph,10,603839.SH,9,0.0758033320307731,0.0506310537457466,0.0758033320307731,-0.1779359430074691,0.0255009107468123,-0.001779359430074691,0.0001,0.0011,-0.002979359430074691
2025-03-07,2025-03-06,ZeroGraph,10,605068.SH,10,0.0733056738972663,0.0833663046360015,0.0733056738972663,-0.6588580012321472,0.0441736481340441,-0.006588580012321472,0.0001,0.0011,-0.007788580012321472
2025-03-10,2025-03-07,ZeroGraph,10,002052.SZ,1,4.160053253173828,4.297530174255371,4.160053253173828,4.901960849761963,0.0488431876606683,0.04901960849761963,0.0001,0.0011,0.04781960849761963
2025-03-10,2025-03-07,ZeroGraph,10,603176.SH,2,0.0915751680731773,0.1073759198188781,0.0915751680731773,1.0,-0.0119047619047618,0.01,0.0001,0.0011,0.0088
2025-03-10,2025-03-07,ZeroGraph,10,603856.SH,3,0.0776286721229553,0.0824468359351158,0.0776286721229553,-0.3613369464874267,-0.0062893081761006,-0.003613369464874267,0.0001,0.0011,-0.004813369464874267
2025-03-10,2025-03-07,ZeroGraph,10,600319.SH,4,0.0710374638438224,0.061161383986473,0.0710374638438224,0.197628453373909,-0.0019646365422396,0.00197628453373909,0.0001,0.0011,0.0007762845337390897
2025-03-10,2025-03-07,ZeroGraph,10,603073.SH,5,0.0686828568577766,0.0665935575962066,0.0686828568577766,0.4629629552364349,-0.0039395929087327,0.004629629552364348,0.0001,0.0011,0.0034296295523643483
2025-03-10,2025-03-07,ZeroGraph,10,605138.SH,6,0.0680483654141426,0.0527894645929336,0.0680483654141426,0.5110732316970825,-0.0051020408163265,0.005110732316970825,0.0001,0.0011,0.003910732316970825
2025-03-10,2025-03-07,ZeroGraph,10,603053.SH,7,0.0612087175250053,0.0573409795761108,0.0612087175250053,0.3253796100616455,0.0043478260869566,0.003253796100616455,0.0001,0.0011,0.002053796100616455
2025-03-10,2025-03-07,ZeroGraph,10,601279.SH,8,0.0569345280528068,0.0475004613399505,0.0569345280528068,-0.2604166567325592,0.0078947368421053,-0.002604166567325592,0.0001,0.0011,-0.003804166567325592
2025-03-10,2025-03-07,ZeroGraph,10,605177.SH,9,0.0532836690545082,0.0530231781303882,0.0532836690545082,0.9211872816085817,0.0030832476875641,0.009211872816085816,0.0001,0.0011,0.008011872816085817
2025-03-10,2025-03-07,ZeroGraph,10,002678.SZ,10,0.0435713082551956,0.0560758933424949,0.0435713082551956,0.0,-0.0150537634408602,0.0,0.0001,0.0011,-0.0012000000000000001
2025-03-11,2025-03-10,ZeroGraph,10,002052.SZ,1,1.4945443868637085,2.5084123611450195,1.4945443868637085,4.90654182434082,0.0490196078431372,0.0490654182434082,0.0001,0.0011,0.0478654182434082
2025-03-11,2025-03-10,ZeroGraph,10,603993.SH,2,1.2431102991104126,1.011150360107422,1.2431102991104126,-2.0486555099487305,0.082058414464534,-0.020486555099487304,0.0001,0.0011,-0.021686555099487304
