date,buy_date,model,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,equity
2025-03-19,2025-03-18,ZeroGraph,10,10,0.0037056519314646722,0.002505651931464672,0.0001,0.0011,0.0012000000000000001,1,1.1412874261648283
2025-03-20,2025-03-19,ZeroGraph,10,10,0.014402851730585097,0.013202851730585097,0.0001,0.0011,0.0012000000000000001,1,1.1563556748344637
2025-03-21,2025-03-20,ZeroGraph,10,10,0.016844611763954166,0.015644611763954167,0.0001,0.0011,0.0012000000000000001,1,1.1744464104282941
2025-03-24,2025-03-21,ZeroGraph,10,10,0.0018137308508157728,0.0006137308508157727,0.0001,0.0011,0.0012000000000000001,1,1.175167204423004
2025-03-25,2025-03-24,ZeroGraph,10,10,0.004370919812470676,0.0031709198124706757,0.0001,0.0011,0.0012000000000000001,1,1.1788935653944748
2025-03-26,2025-03-25,ZeroGraph,10,10,0.005386319980025292,0.004186319980025293,0.0001,0.0011,0.0012000000000000001,1,1.183828791081609
2025-03-27,2025-03-26,ZeroGraph,10,10,0.009231097161769867,0.008031097161769868,0.0001,0.0011,0.0012000000000000001,1,1.193336235125686
2025-03-28,2025-03-27,ZeroGraph,10,10,-0.0011076361685991287,-0.0023076361685991286,0.0001,0.0011,0.0012000000000000001,1,1.19058244926821
2025-03-31,2025-03-28,ZeroGraph,10,10,-0.003922736480832099,-0.005122736480832099,0.0001,0.0011,0.0012000000000000001,1,1.1844834091219054
2025-04-01,2025-03-31,ZeroGraph,10,10,0.002730615220963955,0.001530615220963955,0.0001,0.0011,0.0012000000000000001,1,1.1862963974568868
2025-04-02,2025-04-01,ZeroGraph,10,10,0.0050329149961471555,0.0038329149961471554,0.0001,0.0011,0.0012000000000000001,1,1.1908433707085746
2025-04-03,2025-04-02,ZeroGraph,10,10,0.0038282973468303687,0.0026282973468303686,0.0001,0.0011,0.0012000000000000001,1,1.1939732611802985
2025-04-07,2025-04-03,ZeroGraph,10,10,-0.03325296710431576,-0.03445296710431576,0.0001,0.0011,0.0012000000000000001,1,1.152837339689421
2025-04-08,2025-04-07,ZeroGraph,10,10,-0.010557465516030788,-0.011757465516030787,0.0001,0.0011,0.0012000000000000001,1,1.13928289442243
2025-04-09,2025-04-08,ZeroGraph,10,10,-0.003179977819323539,-0.00437997781932354,0.0001,0.0011,0.0012000000000000001,1,1.134292860614925
2025-04-10,2025-04-09,ZeroGraph,10,10,0.01184250094741583,0.01064250094741583,0.0001,0.0011,0.0012000000000000001,1,1.1463645734586663
2025-04-11,2025-04-10,ZeroGraph,10,10,0.010276157662272453,0.009076157662272454,0.0001,0.0011,0.0012000000000000001,1,1.156769159065821
2025-04-14,2025-04-11,ZeroGraph,10,10,0.01303763522952795,0.01183763522952795,0.0001,0.0011,0.0012000000000000001,1,1.17046257041561
2025-04-15,2025-04-14,ZeroGraph,10,10,0.011857817389070989,0.010657817389070989,0.0001,0.0011,0.0012000000000000001,1,1.1829371467518421
2025-04-16,2025-04-15,ZeroGraph,10,10,0.0054354704320430745,0.004235470432043075,0.0001,0.0011,0.0012000000000000001,1,1.187947442059875
2025-04-17,2025-04-16,ZeroGraph,10,10,-0.0009454171210527423,-0.0021454171210527426,0.0001,0.0011,0.0012000000000000001,1,1.185398799278769
2025-04-18,2025-04-17,ZeroGraph,10,10,-0.003560800664126873,-0.004760800664126873,0.0001,0.0011,0.0012000000000000001,1,1.1797553518879074
2025-04-21,2025-04-18,ZeroGraph,10,10,0.0020912352055311207,0.0008912352055311205,0.0001,0.0011,0.0012000000000000001,1,1.1808067913914235
2025-04-22,2025-04-21,ZeroGraph,10,10,0.004128270298242569,0.0029282702982425693,0.0001,0.0011,0.0012000000000000001,1,1.184264512846618
