date,n_obs,mse_candidate,mse_baseline,loss_diff,Candidate,Baseline,Comparison
2025-04-07,3029,34.21108466317463,33.62221566291846,-0.588869000256168,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-08,3029,5.8443387729545755,5.18528760573659,-0.659051167217985,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-09,3032,3.216614972941354,3.2529709664901736,0.03635599354881947,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-10,3033,6.127509676513572,6.513439670530669,0.3859299940170969,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-11,3033,1.4798838364566345,1.495540022746345,0.015656186289710404,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-14,3032,3.158996822394146,3.3249319804353,0.165935158041154,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-15,3033,1.2994020695232373,1.358077900542372,0.058675831019135004,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-16,3036,1.3249096726061635,1.3196893926633002,-0.005220279942863508,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-17,3036,1.0341470588372224,1.0122682062445754,-0.021878852592646977,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-18,3035,0.8028215609788341,0.77345237832392,-0.029369182654914058,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-21,3036,1.1557031963987725,1.1412049751564834,-0.014498221242288972,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-22,3035,1.217916366493092,1.2381849791843749,0.02026861269128288,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-23,3035,1.6468175406947319,1.6279441518394633,-0.018873388855268715,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-24,3034,1.1501502279439717,1.168976219209917,0.018825991265945162,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-25,3038,1.6888969591728147,1.734246866274722,0.045349907101906915,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-28,3038,2.307465094612046,2.3286752818697054,0.02121018725765994,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-29,3038,2.293451591779351,2.3457957966488485,0.05234420486949745,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-30,3031,1.7840599113605373,1.8185749556048745,0.03451504424433718,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-06,3035,1.5550085156490114,1.6017575571056641,0.046749041456652825,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-07,3036,2.186274997488608,2.3791906794424635,0.19291568195385522,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-08,3037,0.8543451519517485,0.9057028316582909,0.05135767970654219,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-09,3037,0.8500695578492136,0.8592604229073062,0.009190865058092518,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-12,3037,1.6538005145575796,1.6354651663465858,-0.01833534821099376,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-13,3036,1.3960520401979666,1.5242282467817239,0.12817620658375722,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-14,3036,0.7863587500597868,0.7916671278890783,0.00530837782929145,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-15,3036,0.6718564777959309,0.6741212269746519,0.0022647491787208948,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-16,3035,1.8297395205112006,1.8568523505867405,0.027112830075539978,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-19,3031,1.5059212684713563,1.528419888571825,0.022498620100468467,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-20,3037,1.4213587585653116,1.479342028449251,0.057983269883939426,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-21,3035,0.7109119456163635,0.7296346046581096,0.018722659041745974,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-22,3035,1.624956882932651,1.6273040126264118,0.0023471296937608082,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-23,3036,0.8276852474385789,0.863888036612877,0.03620278917429823,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-26,3035,1.1318059132869582,1.136303422213177,0.004497508926218922,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-27,3034,0.9195858889891267,0.9458064716560423,0.026220582666915567,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-28,3033,1.2096497956365062,1.2293142181054717,0.01966442246896556,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-29,3034,2.3367675280777416,2.3267307261681687,-0.010036801909573043,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-05-30,3036,2.2974667797133907,2.2668017083724465,-0.03066507134094453,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-03,3030,1.4238659623223653,1.463893795911987,0.040027833589621746,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-04,3034,2.132239100664539,2.1876347388545554,0.05539563819001639,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-05,3034,1.0951412278817028,1.1294319359692817,0.03429070808757903,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-06,3035,1.915985785115842,1.930901344239072,0.014915559123229892,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-09,3034,2.171370538956451,2.162780721801152,-0.008589817155299112,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-10,3036,1.115388352951649,1.133658813671416,0.018270460719767147,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-11,3037,1.606093622966626,1.6040189971097658,-0.0020746258568602642,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-12,3036,1.8058874197281423,1.816077589782804,0.010190170054662207,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-13,3038,2.0529192252911015,2.0487986092865467,-0.004120616004554811,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-16,3039,1.1284234554247858,1.1815112859471502,0.053087830522364404,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-17,3042,1.0605174301605012,1.0803018415773828,0.019784411416881757,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-18,3042,0.9764222383708631,0.9956644473578252,0.019242208986962175,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-19,3042,1.2829225782218876,1.2973337257576831,0.014411147535795523,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-06-20,3042,1.0642960447180103,1.079556942877895,0.015260898159884868,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
